,API Name,Api Url,Api Description,Api Category
1,Category,/category/all/apis?page=482&order=field_article_primary_category&sort=asc,N/A,N/A
2,Microsoft Excel JavaScript API,/api/microsoft-excel-javascript," The Microsoft Excel JavaScript API requirement set 1.7 features include API integration for charts, events, data validation, worksheets, ranges, document properties, named items, protection options...", Spreadsheets
3,GroupDocs.Comparison .NET API,/api/groupdocscomparison-net, GroupDocs.Comparison for .NET allows developers performing in-detail comparison of two different versions of documents of the same format to identify any changes within the content and text styles...., Comparisons
4,GroupDocs.Comparison Java API,/api/groupdocscomparison-java," The API provides Documents Comparison, Difference Checker and Documents Merging that support formats for PDF, OpenDocument, HTML, Microsoft Word, Excel, PowerPoint and Text files. GroupDocs provides...", Comparisons
5,GroupDocs.Conversion .Net API,/api/groupdocsconversion-net," GroupDocs.Conversion for .NET is an advanced document conversion API that allows seamlessly incorporating document and image conversion features in C#, ASP.NET and any type of .NET application. It...", Conversions
6,Restpack Website Screenshot API,/api/restpack-website-screenshot," The Restpack Website Screenshot API allows developers to capture screenshots of live web pages and retrieve them in PNG, JPEG, or PDF format. This services uses a browser engine that comes with SVG,...", Screenshots
7,Restpack HTML to PDF API,/api/restpack-html-to-pdf," The Restpack HTML to PDF API allows developers to capture live web pages and deliver them as PDF documents. It can also convert other HTML documents - such as invoices, tickets, resumes, and reports...", PDF
8,Data.BaltimoreCity.Gov Public Pool API,/api/databaltimorecitygov-public-pool," The Data.BaltimoreCity.Gov Public Pool API returns public pools data with JSON, AMF, and geoJSON formats, providing layers and esriGeometryPoint as geometry type. See live example at https://data....", Cities
9,Data.BaltimoreCity.Gov Housing Permits API,/api/databaltimorecitygov-housing-permits," The Data.BaltimoreCity.Gov Housing Permits API returns data for construction, alteration, electrical, mechanical and plumbing work in both commercial and residential purposes. API communication over...", Cities
10,Data.BaltimoreCity.Gov Vegetated Area API,/api/databaltimorecitygov-vegetated-area," The Data.BaltimoreCity.Gov Vegetated Area API returns esriGeometryPolygon data with vegetated zones in the city of Baltimore. Supported Query Formats: JSON, AMF, geoJSON. See a live example at https...", Cities
11,SX.enterprise REST API,/api/sxenterprise-rest," The SX.enterprise REST API provides access to a Progress-based ERP (Enterprise Resource Planning) solution. Although SX.enterprise belongs to Infor, the API for it has been developed by Grey Wolf....", ERP
12,Category,/category/all/apis?page=483&order=field_article_primary_category&sort=asc,N/A,N/A
13,Pydio API,/api/pydio," Pydio is a file sharing and management platform that offers collaboration, security features, and is GDPR-Ready. The API is used to access hosted documents, folders, and provision admin data. XML and...", File Sharing
14,Data.BaltimoreCity.Gov Water API,/api/databaltimorecitygov-water," The Data.BaltimoreCity.Gov Water API returns esri GeometryPolygon data with water zones in the city of Baltimore. Supported Query Formats: JSON, AMF, geoJSON. Learn more at https://maps.baltimorecity...", Cities
15,finsym API,/api/finsym," The finsym API can find company names within text and return their stock exchange symbols. The API can find full or partial company names, company symbols, and most nicknames (e.g., ""Pepsi"" for ""...", Stocks
16,Revolut Open Banking Webhooks API,/api/revolut-open-banking-webhooks," The Revolut Open Banking Webhooks API allows you to receive updates about your account. You can use this API to create a web-hook endpoint to receive a notification that will be posted, via HTTP...", Financial
17,Data.Seattle.Gov Road Weather Information Stations API,/api/dataseattlegov-road-weather-information-stations," The Data.Seattle.Gov Road Weather Information Stations API returns temperature data coming from sensor stations placed on bridges within city limits. API communication over HTTPS returns JSON, XML,...", Cities
18,Data.Seattle.Gov Land Use Permits API,/api/dataseattlegov-land-use-permits," The Data.Seattle.Gov Land Use Permits API returns data of permits that are in progress or that have been issued in Seattle. API communication over HTTPS returns JSON, XML, and CSV formats. All...", Cities
19,Data.BaltimoreCity.Gov Vacant Buildings API,/api/databaltimorecitygov-vacant-buildings," The Data.BaltimoreCity.Gov Vacant Buildings API returns data of buildings located throughout the City of Baltimore updated twice a month, or as needed. API communication over HTTPS returns JSON, XML...", Cities
20,Home Connect Simulated Appliance API,/api/home-connect-simulated-appliance, Home Connect offers a RESTful API to control and monitor enabled home appliances. This API is a simulator to test your service. It requires an open appliance interface that enables you to connect..., Home Automation
21,Prophet 21 REST API,/api/prophet-21-rest, The Prophet 21 REST API provided by Grey Wolf allows developers to integrate the Prophet 21 (P21) ERP solution into their own systems and applications. P21 is an MSSQL server-based ERP solution..., ERP
22,IBM Cloud Video Player API,/api/ibm-cloud-video-player, The IBM Cloud Video Player API allows developers to build a customized embedded live player. The API adds functionalities to live streams and recorded videos. The IBM Cloud Video Player API requires..., Video
23,Category,/category/all/apis?page=484&order=field_article_primary_category&sort=asc,N/A,N/A
24,IBM Cloud Video Channel API,/api/ibm-cloud-video-channel, The IBM Cloud Video Channel API provides access to IBM's Cloud Video users' data and is capable of broadcasting to a user's channel. OAuth 2.0 is the preferred protocol for authentication. The API is..., Video
25,OpenCPM Open Risk API,/api/opencpm-open-risk, The Open Risk API provides a mechanism to integrate arbitrary collections of risk data and risk modelling resources in the context of assessing and managing financial risk. It is based on two key..., Banking
26,GameScorekeeper Live API,/api/gamescorekeeper-live," The GameScorekeeper Live API provides real-time data from eSports matches through websockets. This API delivers map start ocurrences, map end ocurrences, round start occurences, live information...", eSports
27,GameScorekeeper API,/api/gamescorekeeper," The GameScorekeeper REST API provides JSON data related to eSports such as upcoming matches, competitions, teams, and results. GameScorekeeper covers around 85 percent of all eSports viewership,...", eSports
28,Coord Multimodal Routing API,/api/coord-multimodal-routing," The Coord Multimodal Routing API provides a way to plan a trip within two points of interest that are in the same city. This may include walking, buses, trains, and shared bicycles. Coord enables...", Transportation
29,BillingFox API,/api/billingfox," The BillingFox API is a service that developers can add to their own applications, games, or SaaS to enable metered billing pricing and charge customers only for what they use.
BillingFox operates...", Payments
30,kvdb.io API,/api/kvdbio," The kvdb.io API is a key-value store as a service for metrics collection, and IoT applications, providing a simple HTTP API for storing arbitrary keys and values. Requests include URI Query String/...", Internet of Things
31,Shop4Api Identity Check API,/api/shop4api-identity-check," The Shop4Api Identity Check verifies if the name of a person matches the given address, available for consumer data of Austria, Germany and Netherlands. For API access, email info@shop4api.com", Addresses
32,Crypto News API,/api/crypto-news," CryptoControl allows users to use their powerful news engine for professional or commercial use. CryptoControl goes through more than 5,000 articles daily from over 1000+ news sources. We then use a...", Cryptocurrency
33,SecurityTrails API,/api/securitytrails," The SecurityTrails API is a Domain, DNS, WHOIS and IP service that holds various Internet Intelligence Data to integrate in your application for risk scoring, fraud detection, infrastructure...", Security
34,Category,/category/all/apis?page=485&order=field_article_primary_category&sort=asc,N/A,N/A
35,Whitepaper API,/api/whitepaper," The Whitepaper API allows developers to retrieve whitepapers for many popular cryptocurrencies and embed them on their web pages. This service offers whitepapers on Bitcoin, Ripple, Stellar, IOTA,...", Documents
36,Perfect Tense API,/api/perfect-tense, The Perfect Tense API is an artificial intelligence powered spelling and grammar API. All you have to do is provide a piece of text and the Perfect Tense API will automatically return a proofread..., Editing
37,Consignor Shipment Server API,/api/consignor-shipment-server," Consignor is a shipment platform used to print shipping labels, transfer data to carriers, track shipments, send notifications to customers, and retrieve statistics. The Consignor Shipment Server API...", Shipping
